"Lake","Species","Morph_ID","Morph_zone","Morph_diet","Source","Evidence"
"Dezadeash","Coregonus_clupeaformis","Dezadeash_HGR","pelagic","planktivore","79C","Gill rakers; description in 79C"
"Dezadeash","Coregonus_clupeaformis","Dezadeash_LGR","littoral/benthic","benthivore","79C","Gill rakers; description in 79C"
"Dughaill","Salvelinus_alpinus","Dughaill_P","profundal","benthivore","47A","morphology; gill rakers; location of capture; stomach contents"
"Dughaill","Salvelinus_alpinus","Dughaill_PL","pelagic","planktivore","47A","morphology; gill rakers; location of capture; stomach contents"
"East","Coregonus_clupeaformis","East_dwarf","pelagic","","286A","location of capture; morphology; gill rakers; stomach contents"
"East","Coregonus_clupeaformis","East_norm","littoral/benthic","","286A","location of capture; morphology; gill rakers; stomach contents"
"Ellasjoen","Salvelinus_alpinus","Ellasjoen_dwarf","profundal","benthivore","53A","location; morphology; stable isotopes"
"Ellasjoen","Salvelinus_alpinus","Ellasjoen_L","littoral/benthic","planktivore","53A","location; morphology; stable isotopes"
"Ellasjoen","Salvelinus_alpinus","Ellasjoen_PL","pelagic","benthivore","53A","location; morphology; stable isotopes"
"Ericht","Salvelinus_alpinus","Ericht_PI","","piscivore","291A","morphology; stomach contents"
"Ericht","Salvelinus_alpinus","Ericht_PL","pelagic","planktivore","291A","morphology; stomach contents"
"Femund","Coregonus_lavaretus","Femund_bay","littoral/benthic","","331B","morphology; location of capture; gill rakers"
"Femund","Coregonus_lavaretus","Femund_deep","generalist","","331B","morphology; location of capture; gill rakers"
"Femund","Coregonus_lavaretus","Femund_river","littoral/benthic","","331B","morphology; location of capture; gill rakers"
"Femund","Coregonus_lavaretus","Femund_shallow","generalist","","331B","morphology; location of capture; gill rakers"
"Fjellfros","Salvelinus_alpinus","Fjellfros_B","littoral/benthic","benthivore","196B","stomach contents; isotopes; morphology; growth curves"
"Fjellfros","Salvelinus_alpinus","Fjellfros_G","littoral/benthic","benthivore","196B","stomach contents; isotopes; morphology; growth curves"
"Fjellfros","Salvelinus_alpinus","Fjellfros_PB","profundal","benthivore","276A; 181A","stomach contents; location of capture; morphology"
"Fjellfros","Salvelinus_alpinus","Fjellfros_Z","pelagic","planktivore","196B","stomach contents; isotopes; morphology; growth curves"
"Galtabol","Salvelinus_alpinus","Galtabol_B","","benthivore","118A","growth curves"
"Galtabol","Salvelinus_alpinus","Galtabol_PI","","piscivore","118A","growth curves"
"Gander","Salvelinus_alpinus","Gander_darklarge","shallow","","178B","location of capture; isotopes; morphology; stomach contents"
"Gander","Salvelinus_alpinus","Gander_darksmall","littoral/benthic","","89A;220A","location of capture; isotopes; morphology; stomach contents"
"Gander","Salvelinus_alpinus","Gander_paledeep","profundal","","178B","location of capture; isotopes; morphology"
"Gander","Salvelinus_alpinus","Gander_paleshallow","profundal","","178B","location of capture; isotopes; morphology"
"GreatBear","Salvelinus_namaycush","GreatBear_M1","generalist","","72A","morphology; stable isotopes; location of capture"
