Paper_ID,Full_Paper_ID,Reference
122A,122A-GardunoPaz2012,"Garduño-Paz, M. V., C. E. Adams, E. Verspoor, D. Knox, and C. Harrod. 2012. Convergent evolutionary processes driven by foraging opportunity in two sympatric morph pairs of Arctic charr with contrasting post-glacial origins. Biological Journal of the Linnean Society 106:794–806."
126A,126A-Ingram2012,"Ingram, T., A. G. Hudson, P. Vonlanthen, and O. Seehausen. 2012. Does water depth or diet divergence predict progress towards ecological speciation in whitefish radiations? Evolutionary Ecology Research 14:487–502."
128A,128A-Siwertsson,"Siwertsson, A., R. Knudsen, and P. A. Amundsen. 2012. Temporal stability in gill raker numbers of subarctic European whitefish populations. Advances in Limnology 63:229–240."
128B,128B-Muir2014,"Muir, A. M., C. R. Bronte, M. S. Zimmerman, H. R. Quinlan, J. D. Glase, and C. C. Krueger. 2014. Ecomorphological Diversity of Lake Trout at Isle Royale, Lake Superior. Transactions of the American Fisheries Society 143:972–987."
129A,129A-Vecsei2011,"Vecsei, P., C. T. Blackie, A. M. Muir, H. M. Machtans, and J. D. Reist. 2012. A preliminary assessment of cisco (coregonus spp.) diversity in yellowknife bay, great slave lake, northwest territories. Advances in Limnology 63:299–322."
136B,136B-Smalas2013,"Smalås, A., P. A. Amundsen, and R. Knudsen. 2013. Contrasting life history strategies of sympatric Arctic charr morphs, Salvelinus alpinus. Journal of Ichthyology 53:856–866."
13C,13C-Markevich2017,"Markevich, G. N., E. V. Esin, O. Y. Busarova, R. Knudsen, and L. A. Anisimova. 2017. Diversity of nosed charrs Salvelinus malma (Salmonidae) of Lake Kronotskoe (Kamchatka). Journal of Ichthyology 57:675–687."
141A,141A-Arbour2010,"Arbour, J. H., D. C. Hardie, and J. A. Hutchings. 2011. Morphometric and genetic analyses of two sympatric morphs of arctic char (Salvelinus alpinus) in the Canadian high arctic. Canadian Journal of Zoology 89:19–30."
141B,141B-Kapralova2013,"Kapralova, K. H., J. Gudbrandsson, S. Reynisdottir, C. B. Santos, V. C. Baltanás, V. H. Maier, S. S. Snorrason, et al. 2013. Differentiation at the MHCII? and Cath2 loci in sympatric Salvelinus alpinus resource morphs in Lake Thingvallavatn. PLoS ONE 8:e69402."
148A,148A-Harrod2010,"Harrod, C., J. Mallela, and K. K. Kahilainen. 2010. Phenotype-environment correlations in a putative whitefish adaptive radiation. Journal of Animal Ecology 79:1057–1068."
14B,14B-Thomas2019,"Thomas, S. M., M. J. Kainz, P. A. Amundsen, B. Hayden, S. J. Taipale, and K. K. Kahilainen. 2019. Resource polymorphism in European whitefish: Analysis of fatty acid profiles provides more detailed evidence than traditional methods alone. PLoS ONE 14:1–23."
154B,154B-Woods2013,"Woods, P. J., D. Young, S. Skúlason, S. S. Snorrason, and T. P. Quinn. 2013. Resource polymorphism and diversity of Arctic charr Salvelinus alpinus in a series of isolated lakes. Journal of Fish Biology 82:569–587."
156B,156B-Karvonen2013,"Karvonen, A., B. Lundsgaard-Hansen, J. Jokela, and O. Seehausen. 2013. Differentiation in parasitism among ecotypes of whitefish segregating along depth gradients. Oikos 122:122–128."
162A,162A-Gallagher2010,"Gallagher, C. P., and T. A. Dick. 2010. Trophic structure of a landlocked Arctic char Salvelinus alpinus population from southern Baffin Island, Canada. Ecology of Freshwater Fish 19:39–50."
165A,165A-Knudsen2010,"Knudsen, R., R. Primicerio, P. A. Amundsen, and A. Klemetsen. 2010. Temporal stability of individual feeding specialization may promote speciation. Journal of Animal Ecology 79:161–168."
166A,166A-Helland2009,"Helland, I. P., L. A. Vøllestad, J. Freyhof, and T. Mehner. 2009. Morphological differences between two ecologically similar sympatric fishes. Journal of Fish Biology 75:2756–2767."
16C,16C-PerreaultPayette2017,"Perreault-Payette, A., A. M. Muir, F. Goetz, C. Perrier, E. Normandeau, P. Sirois, and L. Bernatchez. 2017. Investigating the extent of parallelism in morphological and genomic divergence among lake trout ecotypes in Lake Superior. Molecular Ecology 26:1477–1497."
170A,170A-Zimmerman2009,"Zimmerman, M. S., S. N. Schmidt, C. C. Krueger, M. J. Vander Zanden, and R. L. Eshenroder. 2009. Ontogenetic niche shifts and resource partitioning of lake trout morphotypes. Canadian Journal of Fisheries and Aquatic Sciences 66:1007–1018."
176A,176A -Adams2008,"Adams, C. E., A. J. Wilson, and M. M. Ferguson. 2008. Parallel divergence of sympatric genetic and body size forms of Arctic charr, Salvelinus alpinus, from two Scottish lakes. Biological Journal of the Linnean Society 95:748–757."
178B,178B-Power2012,"Power, M., M. F. O’Connell, and B. Dempson. 2012. Determining the consistency of thermal habitat segregation within and among Arctic charr morphotypes in Gander Lake, Newfoundland. Ecology of Freshwater Fish 21:245–254."
17C,17C-Hudson2017,"Hudson, A. G., B. Lundsgaard-Hansen, K. Lucek, P. Vonlanthen, and O. Seehausen. 2017. Managing cryptic biodiversity: Fine-scale intralacustrine speciation along a benthic gradient in Alpine whitefish (Coregonus spp.). Evolutionary Applications 10:251–266."
181A,181A-Amundsen2008,"Amundsen, P. A., R. Knudsen, and A. Klemetsen. 2008. Seasonal and ontogenetic variations in resource use by two sympatric Arctic charr morphs. Environmental Biology of Fishes 83:45–55."
182A,182A-Knudsen2008,"Knudsen, R., P. A. Amundsen, M. Jobling, and A. Klemetsen. 2008. Differences in pyloric caeca morphology between Arctic charr Salvelinus alpinus ecotypes: Adaptation to trophic specialization or parasite-induced phenotypic modifications? Journal of Fish Biology 73:275–287."
186A,186A-Bertrand2008,"Bertrand, M., D. J. Marcogliese, and P. Magnan. 2008. Trophic polymorphism in brook charr revealed by diet, parasites and morphometrics. Journal of Fish Biology 72:555–572."
189A,189A-Kahilainen2007,"Kahilainen, K. K., T. Malinen, A. Tuomaala, E. Alajärvi, A. Tolonen, and H. Lehtonen. 2007. Empirical evaluation of phenotype-environment correlation and trait utility with allopatric and sympatric whitefish, Coregonus lavaretus (L.), populations in subarctic lakes. Biological Journal of the Linnean Society 92:561–572."
18A,18A-Franklin2018,"Franklin, O. D., S. Skúlason, M. B. Morrissey, and M. M. Ferguson. 2018. Natural selection for body shape in resource polymorphic Icelandic Arctic charr. Journal of Evolutionary Biology 31:1498–1512."
193A,193A-Knudsen2007,"Knudsen, R., P. A. Amundsen, R. Primicerio, A. Klemetsen, and P. Sørensen. 2007. Contrasting niche-based variation in trophic morphology within Arctic charr populations. Evolutionary Ecology Research 9:1005–1021."
196B,196B-Knudsen2011,"Knudsen, R., A. Siwertsson, C. E. Adams, M. Garduño-Paz, J. Newton, and P. A. Amundsen. 2011. Temporal stability of niche use exposes sympatric Arctic charr to alternative selection pressures. Evolutionary Ecology 25:589–604."
198A,198A-Zimmerman2007,"Zimmerman, M. S., C. C. Krueger, and R. L. Eshenroder. 2007. Morphological and ecological differences between shallow- and deep-water Lake trout in Lake Mistassini, Quebec. Journal of Great Lakes Research 33:156–169."
19C,19C-Huuskonen2017,"Huuskonen, H., T. Shikano, L. Mehtätalo, J. Kettunen, R. Eronen, A. Toiviainen, and J. Kekäläinen. 2017. Anthropogenic environmental changes induce introgression in sympatric whitefish ecotypes. Biological Journal of the Linnean Society 121:613–626."
1A,1A-Alekseyev2019,"Alekseyev, S. S., M. Y. Pichugin, V. P. Samusenok, N. V. Gordeeva, A. L. Yur’ev, V. S. Khlystov, and A. N. Matveev. 2019. Reproductive strategies of Arctic charr Salvelinus alpinus (L.) forms in Kiryalta lakes, Transbaikalia, Russia. Hydrobiologia 840:113–136."
202A,202A-Ostbye2006,"Østbye, K., P. A. Amundsen, L. Bernatchez, A. Klemetsen, R. Knudsen, R. Kristoffersen, T. F. Næsje, et al. 2006. Parallel evolution of ecomorphological traits in the European whitefish Coregonus lavaretus (L.) species complex during postglacial times. Molecular Ecology 15:3983–4001."
203A,203A-Knudsen2006,"Knudsen, R., A. Klemetsen, P. A. Amundsen, and B. Hermansen. 2006. Incipient speciation through niche expansion: An example from the Arctic charr in a subarctic lake. Proceedings of the Royal Society B: Biological Sciences 273:2291–2298."
20C,20C-DionCote2017,"Dion-Côté, A. M., R. Symonová, F. C. Lamaze, ?. Pelikánová, P. Ráb, and L. Bernatchez. 2017. Standing chromosomal variation in Lake Whitefish species pairs: the role of historical contingency and relevance for speciation. Molecular Ecology 26:178–192."
210B,210B-Siwertsson2010,"Siwertsson, A., R. Knudsen, K. K. Kahilainen, K. Præbel, R. Primicerio, and P. A. Amundsen. 2010. Sympatric diversification as influenced by ecological opportunity and historical contingency in a young species lineage of whitefish. Evolutionary Ecology Research 12:929–947."
211A,211A-Kahilainen2006,"Kahilainen, K., and K. Østbye. 2006. Morphological differentiation and resource polymorphism in three sympatric whitefish Coregonus lavaretus (L.) forms in a subarctic lake. Journal of Fish Biology 68:63–79."
214A,214A-Sigursteindottir2005,"Sigursteinsdóttir, R. J., and B. K. Kristjánsson. 2005. Parallel evolution, not always so parallel: Comparison of small benthic charr, Salvelinus alpinus, from Grímsnes and Thingvallavatn, Iceland. Environmental Biology of Fishes 74:239–244."
21C,21C-Bryce2016,"Bryce, C., A. Fraser, R. Knudsen, R. Greer, and C. Adams. 2016. Divergent functional traits in three sympatric Arctic charr Salvelinus alpinus morphs are not coupled with the age of the lineage divergence. Hydrobiologia 783:177–189."
220A,220A-Power2005,"Power, M., M. F. O’Connell, and J. B. Dempson. 2005. Ecological segregation within and among Arctic char morphotypesin Gander Lake, Newfoundland. Environmental Biology of Fishes 73:263–274."
226A,226A-McCarthy2004,"McCarthy, I. D., D. Fraser, S. Waldron, and C. E. Adams. 2004. A stable isotope analysis of trophic polymorphism among Arctic charr from Loch Ericht, Scotland. Journal of Fish Biology 65:1435–1440."
228A,228A-Alfonso2004,"Alfonso, N. R. 2004. Evidence for two morphotypes of lake charr, Salvelinus namaycush, from Great Bear Lake, Northwest Territories, Canada. Environmental Biology of Fishes 71:21–32."
234A,234A-Adams2004,"Adams, C. E., and F. A. Huntingford. 2004. Incipient speciation driven by phenotypic plasticity? Evidence from sympatric populations of Arctic charr. Biological Journal of the Linnean Society 81:611–618."
234B,234B-Power2019,"Power, M., G. Power, J. D. Reist, and R. Bajno. 2009. Ecological and genetic differentiation among the Arctic charr of lake Aigneau, northern Québec. Ecology of Freshwater Fish 18:445–460."
237A,237A-Amundsen2004,"Amundsen, P. A., R. Knudsen, A. Klemetsen, and R. Kristoffersen. 2004. Resource competition and interactive segregation between sympatric whitefish morphs. Annales Zoologici Fennici 41:301–307."
23C,23C-Chavarie2015,"Chavarie, L., K. Howland, P. Venturelli, B. C. Kissinger, R. Tallman, and W. Tonn. 2016. Life-history variation among four shallow-water morphotypes of lake trout from Great Bear Lake, Canada. Journal of Great Lakes Research 42:193–203."
242A,242A-Kahilainen2003,"Kahilainen, K., H. Lehtonen, and K. Könönen. 2003. Consequence of habitat segregation to growth rate of two sparsely rakered whitefish (Coregonus lavaretus (L.)) forms in a subarctic lake. Ecology of Freshwater Fish 12:275–285."
249A,249A-Knudsen2003,"Knudsen, R., P. A. Amundsen, and A. Klemetsen. 2003. Inter- and intra-morph patterns in helminth communities of sympatric whitefish morphs. Journal of Fish Biology 62:847–859."
253A,253A-Adams2003,"Adams, C., D. Fraser, I. McCarthy, S. Shields, S. Waldron, and G. Alexander. 2003. Stable isotope analysis reveals ecological segregation in a bimodal size polymorphism in Arctic charr from Loch Tay, Scotland. Journal of Fish Biology 62:474–481."
255A,255A-Turgeon2003,"Turgeon, J., and L. Bernatchez. 2003. Reticulate evolution and phenotypic diversity in North American ciscoes, Coregonus ssp. (Teleostei: Salmonidae): Implications for the conservation of an evolutionary legacy. Conservation Genetics 4:67–81."
256A,256A-Blackie2003,"Blackie, C. T., D. J. Weese, and D. L. G. Noakes. 2003. Evidence for resource polymorphism in the lake charr (Salvelinus namaycush) population of Great Bear Lake, Northwest Territories, Canada. Ecoscience 10:509–514."
264A,264A-Alekseyev2002,"Alekseyev, S. S., V. P. Samusenok, A. N. Matveev, and M. Y. Pichugin. 2002. Diversification, sympatric speciation, and trophic polymorphism of Arctic charr, Salvelinus alpinus complex, in Transbaikalia. Environmental Biology of Fishes 64:97–114."
267A,267A-Klemetsen2002,"Klemetsen, A. 2002. Evidence for genetic differences in the offspring of two sympatric morphs of Arctic charr. Journal of Fish Biology 60:933–950."
269B,269B-Fraser2008,"Fraser, D., F. A. Huntingford, and C. E. Adams. 2008. Foraging specialisms, prey size and life-history patterns: A test of predictions using sympatric polymorphic Arctic charr (Salvelinus alpinus). Ecology of Freshwater Fish 17:1–9."
27A,27A-Markevitch2018,"Markevich, G., E. Esin, and L. Anisimova. 2018. Basic description and some notes on the evolution of seven sympatric morphs of Dolly Varden Salvelinus malma from the Lake Kronotskoe Basin. Ecology and Evolution 8:2554–2567."
283A,283A-Jonsson2000,"Jónsson, B., and S. Skúlason. 2000. Polymorphic segregation in Arctic charr Salvelinus alpinus (L.) from Vatnshlidarvatn, a shallow Icelandic lake. Biological Journal of the Linnean Society 69:55–74."
284A,284A-Turgeon1999,"Turgeon, J., A. Estoup, and L. Bernatchez. 1999. Species flock in the North American Great Lakes: Molecular ecology of Lake Nipigon ciscoes (Teleostei: Coregonidae: Coregonus). Evolution 53:1857–1871."
285A,285A-Lu1999,"Lu, G., and L. Bernatchez. 1999. Correlated trophic specialization and genetic divergence in sympatric lake whitefish ecotypes (Coregonus clupeaformis): Support for the ecological speciation hypothesis. Evolution 53:1491–1505."
286A,286A-Bernatchez1999,"Bernatchez, L., A. Chouinard, and G. Lu. 1999. Integrating molecular genetics and ecology in studies of adaptive radiation: whitefish, Coregonus sp., as a case study. Biological Journal of the Linnean Society 68:173–194."
287A,287A-Dynes1999,"Dynes, J., P. Magnan, L. Bernatchez, and M. A. Rodríguez. 1999. Genetic and morphological variation between two forms of lacustrine brook charr. Journal of Fish Biology 54:955–972."
28A,28A-Hakli2018,"Häkli, K., K. Østbye, K. K. Kahilainen, P. A. Amundsen, and K. Præbel. 2018. Diversifying selection drives parallel evolution of gill raker number and body size along the speciation continuum of European whitefish. Ecology and Evolution 8:2617–2631."
291A,291A-Fraser1998,"Fraser, D., C. E. Adams, and F. A. Huntingford. 1998. Trophic polymorphism among Arctic charr Salvelinus alpinus L., from Loch Ericht, Scotland. Ecology of Freshwater Fish 7:184–191."
296A,296A-Adams1998,"Adams, C. E., D. Fraser, F. A. Huntingford, R. B. Greer, C. M. Askew, and A. F. Walker. 1998. Trophic polymorphism among Arctic charr from Loch Rannoch, Scotland. Journal of Fish Biology 52:1259–1271."
300A,300A-Bourke1997,"Bourke, P., P. Magnan, and M. A. Rodríguez. 1997. Individual variations in habitat use and morphology in brook chart. Journal of Fish Biology 51:783–794."
306A,306A-Chouinard1996,"Chouinard, A., D. Pigeon, and L. Bernatchez. 1996. Lack of specialization in trophic morphology between genetically differentiated dwarf and normal forms of lake whitefish (Coregonus clupeaformis Mitchill) in Lac de l’Est, Quebec. Canadian Journal of Zoology 74:1989–1998."
313A,313A-Dorucu1995,"Dorucu, M., C. E. Adams, F. A. Huntingford, and D. W. T. Crompton. 1995. How fish?helminth associations arise: an example from Arctic charr in Loch Rannoch. Journal of Fish Biology 47:1038–1043."
317A,317A-Sandlund1995,"Sandlund, O. T., T. F. Naesje, and R. Saksgard. 1995. Ecological diversity in whitefish Coregonus lavaretus: Ontogenetic niche shifts and polymorphism. Arch. Hydrobiol. Spec. Issues Advanc. Limnol 46:49–59."
318A,318A-Hesthagen1995,"Hesthagen, T., K. Hindar, B. Jonsson, J. O. Ousdal, and H. Holthe. 1995. Effects of acidification on normal and dwarf Arctic charr Salvelinus alpinus (L.) in a Norwegian lake. Biological Conservation 74:115–123."
31C,31C-Alekseyev2014,"Alekseyev, S. S., N. V. Gordeeva, A. N. Matveev, V. P. Samusenok, A. I. Vokin, and A. L. Yur’ev. 2014. Three sympatric forms of Arctic charr Salvelinus alpinus complex (Salmoniformes, Salmonidae) from Lake Kamkanda, Northern Transbaikalia. Journal of Ichthyology 54:384–408."
320A,320A-Snorrason1994,"Snorrason, S. S., S. Skúlason, B. Jonsson, H. J. Malmquist, P. M. Jonasson, O. T. Sandlund, and T. Lindem. 1994. Trophic specialization in Arctic charr Salvelinus alpinus (Pisces; Salmonidae): morphological divergence and ontogenetic niche shifts. Biological Journal of the Linnean Society 52:1–18."
324A,324A-Sandlund1992,"Sandlund, O. T., K. Gunnarsson, P. M. Jonasson, B. Jonsson, T. Lindem, K. P. Magnusson, H. J. Malmquist, et al. 1992. The arctic charr Salvelinus alpinus in Thingvallavatn. Oikos 64:305–351."
331B,331B-Ostbye2006,"Østbye, K., T. F. Næsje, L. Bernatchez, O. T. Sandlund, and K. Hindar. 2005. Morphological divergence and origin of sympatric populations of European whitefish (Coregonus lavaretus L.) in Lake Femund, Norway. Journal of Evolutionary Biology 18:683–702."
339B,339B-Naesje2004,"Næsje, T. F., J. A. Vuorinen, and O. T. Sandlund. 2004. Genetic and morphometric differentiation among sympatric spawning stocks of whitefish (Coregonus lavaretus L.) in Lake Femund, Norway. Journal of Limnology 63:233–243."
33B,33B-Sitar-2018,"Sitar, S. P., and D. J. Traynor. 2018. Differences in pyloric caeca counts between lean and siscowet lake trout (Salvelinus namaycush) in southern Lake Superior. Journal of Great Lakes Research 44:352–356."
33C,33C-Pavlov2013,"Pavlov, S. D., K. V. Kuzishchin, M. A. Gruzdeva, A. L. Senchukova, and E. A. Pivovarov. 2013. Phenetic diversity and spatial structure of chars (Salvelinus) of the Kronotskaya riverine-lacustrine system (Eastern Kamchatka). Journal of Ichthyology 53:662–686."
34C,34C-Fraser2013,"Fraser, D. J., A. M. Calvert, L. Bernatchez, and A. Coon. 2013. Multidisciplinary population monitoring when demographic data are sparse: A case study of remote trout populations. Ecology and Evolution 3:4954–4969."
35C,35C-Sandlund2013,"Sandlund, O. T., K. Ø. Gjelland, T. Bøhn, R. Knudsen, and P. A. Amundsen. 2013. Contrasting Population and Life History Responses of a Young Morph-Pair of European Whitefish to the Invasion of a Specialised Coregonid Competitor, Vendace. PLoS ONE 8."
36A,36A-Reid2017,"Reid, S. M., M. Parna, and J. D. Reist. 2017. Collapse of Lake Whitefish Coregonus clupeaformis (Mitchill, 1818) species pair in Como Lake, Ontario. Journal of Applied Ichthyology 33:933–939."
373B,373B-Aoki2003,"Aoki, K. A. A., and R. A. Bodaly. 2003. Sympatric presence of low and high gillraker forms of cisco, Coregonus artedi, in Lake Athapapuskow, Manitoba. The Canadian Field-Naturalist 117:49–52."
37C,37C-Hudson2013,"Hudson, A. G., P. Vonlanthen, E. Bezault, and O. Seehausen. 2013. Genomic signatures of relaxed disruptive selection associated with speciation reversal in whitefish. BMC Evolutionary Biology 13:108."
38A,38A-Simonsen2017,"Simonsen, M. K., A. Siwertsson, C. E. Adams, P. A. Amundsen, K. Præbel, and R. Knudsen. 2017. Allometric trajectories of body and head morphology in three sympatric Arctic charr (Salvelinus alpinus (L.)) morphs. Ecology and Evolution 7:7277–7289."
38C,38C-Liso2013,"Liso, S., K. Gjelland, and P. A. Amundsen. 2013. Resource partitioning between pelagic coregonids in a subarctic watercourse following a biological invasion. Journal of Ichthyology 53:101–110."
393B,393B-Guiguer2002,"Guiguer, K. R. R. A., J. D. Reist, M. Power, and J. A. Babaluk. 2002. Using stable isotopes to confirm the trophic ecology of Arctic charr morphotypes from Lake Hazen, Nunavut, Canada. Journal of Fish Biology 60:348–362."
3A,3A-Knudsen2019,"Knudsen, R., A. P. Eloranta, A. Siwertsson, R. A. Paterson, M. Power, and O. T. Sandlund. 2019. Introduction of Mysis relicta (Mysida) reduces niche segregation between deep-water Arctic charr morphs. Hydrobiologia 840:245–260."
40B,40B-Kahilainen2017,"Kahilainen, K. K., S. M. Thomas, E. K. M. Nystedt, O. Keva, T. Malinen, and B. Hayden. 2017. Ecomorphological divergence drives differential mercury bioaccumulation in polymorphic European whitefish (Coregonus lavaretus) populations of subarctic lakes. Science of the Total Environment 599–600:1768–1778."
42A,42A-Chavarie2017,"Chavarie, L., A. M. Muir, M. S. Zimmerman, S. M. Baillie, M. J. Hansen, N. A. Nate, D. L. Yule, et al. 2017. Challenge to the model of lake charr evolution: Shallowand deep-water morphs exist within a small postglacial lake. Biological Journal of the Linnean Society 120:578–603."
43A,43A-Saltykova2017,"Saltykova, E., A. Siwertsson, and R. Knudsen. 2017. Parallel phenotypic evolution of skull-bone structures and head measurements of Arctic charr morphs in two subarctic lakes. Environmental Biology of Fishes 100:137–148."
47A,47A-Hooker2016,"Hooker, O. E., J. Barry, T. E. Van Leeuwen, A. Lyle, J. Newton, P. Cunningham, and C. E. Adams. 2016. Morphological, ecological and behavioural differentiation of sympatric profundal and pelagic Arctic charr (Salvelinus alpinus) in Loch Dughaill Scotland. Hydrobiologia 783:209–221."
49C,49C-Alekseyev2009,"Alekseyev, S. S., M. V. Mina, E. M. Smirina, and A. A. Sokolov. 2009. Late ontogeny growth acceleration and size form transformations in Transbaikalian Arctic charr, Salvelinus alpinus complex: Evidence from fin ray cross section growth layers. Environmental Biology of Fishes 86:487–505."
50A,50A-Baillie2016,"Baillie, S. M., A. M. Muir, M. J. Hansen, C. C. Krueger, and P. Bentzen. 2016. Genetic and phenotypic variation along an ecological gradient in lake trout Salvelinus namaycush. BMC Evolutionary Biology 16:1–16."
53A,53A-Hawley2016,"Hawley, K. L., C. M. Rosten, G. Christensen, and M. C. Lucas. 2016. Fine-scale behavioural differences distinguish resource use by ecomorphs in a closed ecosystem. Scientific Reports 6:1–12."
55B,55B-Kahilainen2016,"Kahilainen, K. K., T. Smura, R. Knudsen, P. A. Amundsen, M. Jokela-Määttä, and K. Donner. 2016. Visual pigments of Arctic charr (Salvelinus alpinus (L.)) and whitefish (Coregonus lavaretus (L.)) morphs in subarctic lakes. Hydrobiologia 783:223–237."
57A,57A-Chavarie2016,"Chavarie, L., K. Howland, C. Gallagher, and W. Tonn. 2016. Fatty acid signatures and stomach contents of four sympatric Lake Trout: Assessment of trophic patterns among morphotypes in Great Bear Lake. Ecology of Freshwater Fish 25:109–124."
57B,57B-Knudsen2016,"Knudsen, R., K. Ø. Gjelland, A. P. Eloranta, B. Hayden, A. Siwertsson, P. A. Amundsen, and A. Klemetsen. 2016. A specialised cannibalistic Arctic charr morph in the piscivore guild of a subarctic lake. Hydrobiologia 783:65–78."
58B,58B-Siwertsson2016,"Siwertsson, A., B. Refsnes, A. Frainer, P. A. Amundsen, and R. Knudsen. 2016. Divergence and parallelism of parasite infections in Arctic charr morphs from deep and shallow lake habitats. Hydrobiologia 783:131–143."
5A,5A-Moccetti2019,"Moccetti, P., A. Siwertsson, R. Kjær, P. A. Amundsen, K. Præbel, A. M. P. Tamayo, M. Power, et al. 2019. Contrasting patterns in trophic niche evolution of polymorphic Arctic charr populations in two subarctic Norwegian lakes. Hydrobiologia 840:281–299."
62B,62B-Chavarie2016,"Chavarie, L., W. J. Harford, K. L. Howland, J. Fitzsimons, A. M. Muir, C. C. Krueger, and W. M. Tonn. 2016. Multiple generalist morphs of Lake Trout: Avoiding constraints on the evolution of intraspecific divergence? Ecology and Evolution 6:7727–7741."
63A,63A-MayMcnally2014,"May-Mcnally, S. L., T. P. Quinn, P. J. Woods, and E. B. Taylor. 2015. Evidence for genetic distinction among sympatric ecotypes of Arctic char (Salvelinus alpinus) in south-western Alaskan lakes. Ecology of Freshwater Fish 24:562–574."
66A,66A-Samways2015,"Samways, K. M., P. R. Leavitt, P. Magnan, M. A. Rodríguez, and P. R. Peres-Neto. 2015. Convergent polymorphism between stream and lake habitats: The case of brook char. Canadian Journal of Fisheries and Aquatic Sciences 72:1406–1414."
68A,68A-Skoglund2015,"Skoglund, S., A. Siwertsson, P. A. Amundsen, and R. Knudsen. 2015. Morphological divergence between three Arctic charr morphs - the significance of the deep-water environment. Ecology and Evolution 5:3114–3129."
68C,68C-Henderson2002,"Henderson, B. A., and D. M. Anderson. 2002. Phenotypic differences in buoyancy and energetics of lean and siscowet lake charr in Lake Superior. Environmental Biology of Fishes 64:203–209."
69C,69C-Jonsson2002,"Jonsson, B. 2002. Parallel sympatric segregation in arctic charr and threespined Stickleback in Lake Galtabol, Iceland. Fisheries Science 68:459–460."
72A,72A-Chavarie2015,"Chavarie, L., K. Howland, L. Harris, and W. Tonn. 2015. Polymorphism in lake trout in Great Bear Lake: Intra-lake morphological diversification at two spatial scales. Biological Journal of the Linnean Society 114:109–125."
73A,73A-Gordeeva2015,"Gordeeva, N. V., S. S. Alekseyev, A. N. Matveev, and V. P. Samusenok. 2014. Parallel evolutionary divergence in arctic char salvelinus alpines complex from transbaikalia: Variation in differentiation degree and segregation of genetic diversity among sympatric forms. Canadian Journal of Fisheries and Aquatic Sciences 72:96–115."
74A,74A-Saltykova2015,"Saltykova, E., G. Markevich, and K. Kuzishchin. 2015. Divergent skull morphology between trophic separated lacustrine forms of Dolly Varden charr from Lake Kronotskoe, Kamchatka, Russia. Environmental Biology of Fishes 98:559–570."
