Paper_ID,Full_Paper_ID,Reference
73A,73A-Gordeeva2015,"Gordeeva, N. V., S. S. Alekseyev, A. N. Matveev, and V. P. Samusenok. 2014. Parallel evolutionary divergence in arctic char salvelinus alpines complex from transbaikalia: Variation in differentiation degree and segregation of genetic diversity among sympatric forms. Canadian Journal of Fisheries and Aquatic Sciences 72:96Ð115."
74A,74A-Saltykova2015,"Saltykova, E., G. Markevich, and K. Kuzishchin. 2015. Divergent skull morphology between trophic separated lacustrine forms of Dolly Varden charr from Lake Kronotskoe, Kamchatka, Russia. Environmental Biology of Fishes 98:559Ð570."
75C,75C-Gislason1999,"G’slason, D., M. M. Ferguson, S. Skœlason, and S. S. Snorrason. 1999. Rapid and coupled phenotypic and genetic divergence in Icelandic Arctic char (Salvelinus alpinus). Canadian Journal of Fisheries and Aquatic Sciences 56:2229Ð2234."
79C,79C-Bernatchez1996,"Bernatchez, L., J. A. Vuorinen, R. A. Bodaly, and J. J. Dodson. 1996. Genetic evidence for reproductive isolation and multiple origins of sympatric trophic ecotypes of whitefish (Coregonus). Evolution 50:624Ð635."
82C,82C-Bjoru1995,"Bjoru, B., and O. T. Sandlund. 1995. Differences in morphology and ecology within a stunted Arctic char population. Nordic Journal of Freshwater Research 71:163Ð172."
83A,83A-Muir2014,"Muir, A. M., P. Vecsei, M. Power, C. C. Krueger, and J. D. Reist. 2014. Morphology and life history of the Great Slave Lake ciscoes (Salmoniformes: Coregonidae). Ecology of Freshwater Fish 23:453Ð469."
85A,85A-Knudsen2014,"Knudsen, R., A. Siwertsson, C. E. Adams, J. Newton, and P. A. Amundsen. 2014. Similar patterns of individual niche use are revealed by different time-integrated trophic tracers (stable isotopes and parasites). Ecology of Freshwater Fish 23:259Ð268."
89A,89A-Conejeros2014,"Conejeros, P., A. Phan, M. Power, M. OÕConnell, S. Alekseyev, I. Salinas, and B. Dixon. 2014. Differentiation of sympatric arctic char morphotypes using Major Histocompatibility Class II genes. Transactions of the American Fisheries Society 143:586Ð594."
93C,93C-Walker1988,"Walker, A. F., R. B. Greer, and A. S. Gardner. 1988. Two ecologically distinct forms of arctic charr Salvelinus alpinus (L.) in Loch Rannoch, Scotland. Biological Conservation 43:43Ð61."
94C,94C-Sandlund1987,"Sandlund, O. Ter, B. Jonsson, H. J. Malmquist, R. Gydemo, T. Lindem, S. Skœlason, S. S. Snorrason, et al. 1987. Habitat use of arctic charr Salvelinus alpinus in Thingvallavatn, Iceland. Environmental Biology of Fishes 20:263Ð274."
96A,96A-Praebel2013,"Pr¾bel, K., R. Knudsen, A. Siwertsson, M. Karhunen, K. K. Kahilainen, O. Ovaskainen, K. ¯stbye, et al. 2013. Ecological speciation in postglacial European whitefish: Rapid adaptive radiations into the littoral, pelagic, and profundal lake habitats. Ecology and Evolution 3:4970Ð4986."
96C,96C-Hindar1982,"Hindar, K., and B. Jonsson. 1982. Habitat and food segregation of dwarf and normal arctic charr (Salvelinus alpinus) from Vangsvatnet Lake, Western Norway. Canadian Journal of Fisheries and Aquatic Sciences 39:1030Ð1045."
97C,97C-Jonsson1982,"Jonsson, B., and K. Hindar. 1982. Reproductive strategy of dwarf and normal arctic charr (Salvelinus alpinus) from Vangsvatnet Lake, Western Norway. Canadian Journal of Fisheries and Aquatic Sciences 39:1404Ð1413."
